# indx m1 m2 s1x s1y s1z s2x s2y s2z lnL lnL_err -1
-1.000000000000000000e+00 2.085816622585404900e+01 9.025983193953136308e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.037652404512388671e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.794492512764400161e+01 9.569096559726798290e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.776022812526543703e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.063748187913628129e+01 9.243521847840428407e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.813949397904904117e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.306789771518215204e+01 1.179990021856500526e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.634694706491096099e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.002284223728421253e+01 9.578050958902270651e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.262681254247366951e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.417005151583797229e+01 8.483020370724240422e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.301460761585286718e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.206395088985831521e+01 1.008543297616637879e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.619264129798260683e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.812219064939089819e+01 9.009331467532097903e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.648047711261580389e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.816682230389590202e+01 1.137092381118725015e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.925308494877090425e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.390115455323173776e+01 8.071948913888679300e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.714804467588351145e+01 1.000000000000000056e-01 -1.000000000000000000e+00
