# gamma0 gamma1 gamma2 gamma3 log_central_pressure1_cgs log_central_pressure2_cgs
6.093599573731822705e-01 5.527054907096846659e-01 -1.195804714390217571e-01 5.583568101347922800e-03 7.298737415913639787e+34 6.741277881954973336e+34
5.033675499917191765e-01 5.765106439004734629e-01 -1.226147974323226059e-01 6.590035658544456110e-03 1.214866304608212335e+35 6.872320092866513943e+34
5.148125022555739561e-01 5.024828573216054695e-01 -1.007330170812360953e-01 5.225850867138261135e-03 1.373266007055367589e+35 8.334861370645542156e+34
7.176832321328154851e-01 3.122922290057446593e-01 -5.609817693666661886e-02 2.408517882205997700e-03 1.599434590582413825e+35 6.127658798040219646e+34
2.634054053249767491e-01 8.449741107688507613e-01 -1.753485329219145739e-01 8.785905847030294966e-03 9.038331364892606069e+34 7.380384423561259604e+34
2.154935949298734943e-01 5.442841538327328754e-01 -7.541284646919831081e-02 2.560965046232862707e-03 2.665875809647630436e+35 1.410527505915240909e+35
6.294491004145251756e-01 3.692831128252543338e-01 -5.793394704310479704e-02 1.909568902082039651e-03 9.940526269441644708e+34 8.155926224966759847e+34
6.932613655098107674e-01 2.518286030904099970e-01 -4.024873082789479778e-02 1.655511380116338714e-03 1.513591538270676511e+35 1.161248848902927982e+35
1.413492911454839129e+00 -2.695471993448105286e-01 5.124516821512221931e-02 -3.158604701814692918e-03 2.191948694700757701e+35 5.752377497921950500e+34
8.414866019215002657e-01 2.222075886753687168e-01 -3.196740963218938636e-02 5.476099084485106525e-04 8.731973970365589638e+34 6.712388319157651262e+34
2.636968495182166472e-01 4.844962964973368313e-01 -6.198391839835155209e-02 1.481716114774476274e-03 2.518865640851959078e+35 1.720755298404000313e+35
3.922079388445057768e-01 5.308827089141158195e-01 -9.042270524805678944e-02 3.453261151697185633e-03 1.405554913811246872e+35 1.166828694588883645e+35
3.726470965033889526e-01 5.677570123359124699e-01 -8.603775103855704209e-02 3.035797134500058028e-03 1.067461428769613960e+35 8.108175697247178866e+34
6.794623348692947484e-01 2.767573201208272105e-01 -4.935392115580630734e-02 2.286896613514860076e-03 1.374106766332939123e+35 1.373072271999575485e+35
6.614573571044060074e-01 1.913082731129007730e-01 -1.694391526331338188e-02 -9.270560409428842781e-05 2.992793818263209798e+35 1.153057609210984147e+35
4.306212002626699231e-01 4.220462648777875692e-01 -5.983316989977198463e-02 1.749105148612306419e-03 2.113299875393619798e+35 1.126758578713475326e+35
5.437012931097265911e-01 3.016086941030937107e-01 -3.133561316837737976e-02 5.411639733739605305e-05 1.778001648371985291e+35 1.212500707967092995e+35
4.269452581566308691e-01 3.683424313633171798e-01 -3.991603068486031247e-02 3.802325174311153031e-04 1.960778164121972915e+35 1.405819659824019908e+35
2.301351336604419429e-01 7.881264469797129024e-01 -1.588179660796235626e-01 8.189339400769161254e-03 1.056127219509002932e+35 1.055395560087190432e+35
3.034583777222811252e-01 6.060040706100775498e-01 -1.119157249851243513e-01 5.510654050040079098e-03 1.829628583545969884e+35 1.186786702124744308e+35
3.414318596205324075e-01 6.661241635160690677e-01 -1.305115170833345828e-01 5.930245720777886816e-03 1.604918086808911274e+35 8.143796727612353076e+34
9.629795407638207516e-01 7.639598183686077681e-03 1.253862178839844181e-02 -1.443721922326852937e-03 1.514065226811687497e+35 1.011746975498308038e+35
5.377264993483512612e-01 4.887038906266287785e-01 -8.634252804739074583e-02 3.418372573126580733e-03 9.723011135083930621e+34 7.651709080504862993e+34
2.905333146820530676e-01 6.526543313153533310e-01 -1.164462719932697760e-01 5.687611642616440498e-03 1.507111212801246098e+35 8.274745113764471002e+34
6.385462192541234705e-01 4.002189400554580501e-01 -7.882436536154470430e-02 3.264685657402903191e-03 1.069723786809603586e+35 9.867201361406890806e+34
6.107785038141736456e-01 3.543177075235749429e-01 -5.367240026495940369e-02 2.072857487263548085e-03 1.003510385704219432e+35 9.559955542913929151e+34
3.008225375563685078e-01 4.827264409395871647e-01 -6.895427374796815612e-02 2.405527976338804261e-03 2.575814639151625839e+35 1.538204681298453262e+35
2.716169033504218788e-01 5.695216896917177918e-01 -8.840245090917248083e-02 3.305470004313606786e-03 2.023061078803017262e+35 1.167488308792579554e+35
1.068823523085264293e+00 9.455399683693514745e-02 -2.585100885871915999e-02 6.412139375956216539e-04 8.027658681801733298e+34 7.513207007225162324e+34
9.957494017984821477e-01 2.609531206891606003e-01 -7.007922433981909893e-02 3.937020762695169450e-03 6.765097296962775560e+34 4.832191802443367042e+34
1.027530321569224858e+00 2.272422990702571699e-01 -6.765682661640511075e-02 3.986518854909196045e-03 7.250321798390970774e+34 5.342358359546730670e+34
2.608970446753820505e-01 8.333789096288364284e-01 -1.644943888651250463e-01 7.521899550411888236e-03 9.188790070967750909e+34 6.747905216025408495e+34
3.935124248090621779e-01 7.008657234989537077e-01 -1.347131073935692036e-01 5.950573337530655135e-03 8.548824039494250361e+34 6.334811352729230651e+34
1.333054041142104129e+00 -2.882560215418324967e-01 6.590047061024725816e-02 -4.213775948393842091e-03 1.491389794603669030e+35 1.143135702887646076e+35
8.821152494041315517e-01 3.167602368873653762e-01 -8.104238343069553041e-02 4.721592661123885822e-03 8.277766159672244990e+34 5.793807044669618122e+34
6.980161717440954705e-01 2.336097320437836022e-01 -3.685622472669081162e-02 1.533603433428069613e-03 2.010688561149564814e+35 1.094945641685160022e+35
2.081801722059175574e-01 6.579732765128165628e-01 -1.105021133969246588e-01 4.899477737417359986e-03 2.061205973388778048e+35 1.027303084249304195e+35
4.230508773493912855e-01 6.268503435556526115e-01 -1.295783850832200323e-01 6.673871337293022996e-03 1.107245088138322601e+35 8.671861408227022843e+34
4.100054478788343060e-01 5.756156990591198008e-01 -9.842875087422908731e-02 3.879061244296493245e-03 9.334145841398243211e+34 9.197270182788018382e+34
2.471726987661267416e-01 5.185382247179866066e-01 -7.087260706728380766e-02 2.279311686861337782e-03 2.602463671016599244e+35 1.420893758466613162e+35
3.632544090655765445e-01 8.378946946820684527e-01 -1.958609403090278145e-01 1.076464854843355197e-02 8.387188776224379912e+34 7.190497970763583153e+34
2.900116265496147094e-01 8.143698601575476426e-01 -1.680940686217268776e-01 8.785412522306391969e-03 9.808467484179322918e+34 6.484021709311691648e+34
5.001373752566767861e-01 3.827881282360634518e-01 -5.893755319219261962e-02 2.144346250858528494e-03 1.607435751582924532e+35 1.395303491234848373e+35
9.045554030235420928e-01 1.488674280563096752e-01 -3.429185166719932176e-02 2.109359598443935353e-03 1.500078685510746926e+35 8.431205732707586047e+34
9.564540646264156898e-01 1.145624130735379553e-01 -3.040478630166471713e-02 1.914011000029663522e-03 1.941573666988826301e+35 7.483862528018486168e+34
2.386086212128789852e-01 7.349632349663259845e-01 -1.469265089441133543e-01 7.649118212351633563e-03 1.376813975529758033e+35 1.172041659579386433e+35
8.080313031675327995e-01 6.477426931839987134e-02 9.673072287890226856e-03 -1.788155657706797701e-03 2.204493472612726554e+35 1.330984179600153281e+35
8.483196048946342049e-01 6.100679046673661982e-02 8.085737978443271676e-03 -1.460390292368030606e-03 2.307445922923847798e+35 9.507533469118468381e+34
8.209322463158402750e-01 2.449307591490021974e-01 -3.531690293834523209e-02 6.988735775828049633e-04 7.705297732048415215e+34 7.031107293112960332e+34
2.815655465585419348e-01 5.251170525058852512e-01 -7.810929468066059311e-02 2.670685608371660674e-03 2.283936214323201744e+35 1.440581243035971726e+35
6.165977939688410681e-01 3.591804809290192746e-01 -5.975575552826112996e-02 2.036466016650697545e-03 1.669956522976775870e+35 7.817626872092076468e+34
7.835212057152981524e-01 3.821441056955796611e-01 -8.811405525112706028e-02 4.455418533462015933e-03 8.008868750755930703e+34 6.523956633422983151e+34
4.114055141897808299e-01 3.501530410053567688e-01 -3.620342460158176845e-02 1.690909646026522522e-04 3.053443071619547954e+35 1.467276502887359049e+35
1.280673330303483626e+00 -1.263153089271574214e-01 2.576718646853451075e-02 -2.159452962197971979e-03 8.357930472522098670e+34 7.225599910154702407e+34
2.811805756761591724e-01 4.878801410049003473e-01 -6.452008056453376050e-02 1.842983779042290174e-03 2.508044790951203825e+35 1.443133854250204467e+35
3.084635849614364989e-01 4.648258378437203908e-01 -6.802234708957277665e-02 2.742302118766201582e-03 3.050833458933983789e+35 1.615845645965091808e+35
9.813407420670943182e-01 4.639512097257175172e-01 -1.438715033618931660e-01 8.691848174109253339e-03 5.487542794831164239e+34 3.778454623109802280e+34
2.386771461087758561e-01 5.777977501595322751e-01 -9.264860067394421750e-02 3.973945653213966853e-03 2.147076404322034955e+35 1.457556478567279855e+35
4.035651771566917678e-01 7.109918071106282600e-01 -1.398220737803375635e-01 6.211033944792079126e-03 7.379594476275203552e+34 6.899397210274397110e+34
8.373928820175833287e-01 2.027792014860707037e-01 -3.008834099136671603e-02 8.685963612800578614e-04 1.207749033432112963e+35 6.336679313004438527e+34
6.066374035185843061e-01 4.069123628493463429e-01 -7.048930647211175404e-02 2.976312959036933256e-03 1.329497235947509425e+35 6.492541267405738444e+34
1.242366547822363998e+00 -9.452804255788015142e-02 1.246873275215919577e-02 -2.799736628799564218e-04 9.863170800022823458e+34 7.071156078509227862e+34
6.662885941435743309e-01 3.951200156192697932e-01 -7.426139721072808064e-02 3.402616127828521440e-03 8.378474456521352091e+34 7.970452159741284060e+34
4.662152785661021759e-01 5.203109398361065452e-01 -8.927910062598561070e-02 3.634391206310084738e-03 9.530311647336710406e+34 9.315199313207317048e+34
3.030340653319072985e-01 4.660892617540211003e-01 -5.805828992818490297e-02 1.310878321734414848e-03 1.964528597002415021e+35 1.645780343838043469e+35
2.203915330882265933e-01 6.000690956195486869e-01 -9.258779217101033299e-02 3.710534565128865720e-03 1.567447922313894316e+35 1.527373226853652831e+35
5.234495382187516199e-01 5.369702305987495983e-01 -9.986691697404535828e-02 4.103889784641216038e-03 1.020383738394338478e+35 6.507655103886035742e+34
2.695479054295170096e-01 5.283372026448157621e-01 -7.664600050725736691e-02 2.348003107755278641e-03 2.577037503007820266e+35 1.374615790710841832e+35
3.632757554312818771e-01 8.493799172430102074e-01 -1.876133136944455881e-01 1.022701891398068719e-02 7.981946954960306390e+34 5.128690841686050280e+34
3.929677408084036316e-01 7.201371648570288331e-01 -1.450371474094267477e-01 6.967670204904317065e-03 9.465055147381196869e+34 5.882343909898786801e+34
6.145249740851620457e-01 4.934669466934322735e-01 -1.014669592821801775e-01 4.506410284976582019e-03 8.364178241302592020e+34 7.473572387378207971e+34
4.827552106911650043e-01 4.877823495188382541e-01 -8.959682098457870392e-02 3.833452990149903254e-03 1.289583069606486365e+35 1.090589993447627333e+35
2.369442386539687972e-01 5.638562576430588003e-01 -8.222635298559380357e-02 3.004178270420721549e-03 2.269673831025165749e+35 1.212202881450490699e+35
3.524841357903082950e-01 7.834594766782927433e-01 -1.612926770189360703e-01 8.230496335177360165e-03 7.253900610787030493e+34 6.772893980281378685e+34
3.312027391603246662e-01 4.231089334164922500e-01 -5.301100110803605436e-02 1.458860369561271967e-03 4.083615413919438090e+35 1.309008597658499546e+35
3.682280723042095083e-01 6.630028016727417262e-01 -1.295381639599025581e-01 6.424942150084877145e-03 1.156460728396814528e+35 7.596671312680803589e+34
2.315110687238148557e-01 8.453309272133111563e-01 -1.711849909974471062e-01 8.813534766682347421e-03 8.497170158394645064e+34 8.372649339227776073e+34
4.567825979710041229e-01 6.582496710746756907e-01 -1.360986899768308056e-01 6.450451857726796981e-03 8.783488138243533756e+34 6.866176575012457020e+34
6.672651176840480591e-01 1.999533558185265236e-01 -2.091643654083872456e-02 9.287052395563419327e-05 2.731530679466809022e+35 1.215701849352604840e+35
2.463715807263889279e-01 6.284769944305566014e-01 -1.030978254234523606e-01 4.670912961673401656e-03 1.654237831866391241e+35 1.011265475870766036e+35
4.338210145072580182e-01 4.226268262715065505e-01 -6.358323923289659063e-02 2.023932110459961912e-03 3.223563115617571567e+35 1.024609169248406473e+35
3.282385387209054151e-01 4.822095307643651796e-01 -6.849099171882827575e-02 1.992620451950171800e-03 1.828179999740846215e+35 1.669997173035039232e+35
4.175262642941386382e-01 4.140289073619040638e-01 -6.016123992964230588e-02 2.273987616927334188e-03 2.811396492371628395e+35 1.123478975255730050e+35
2.878368280864151973e-01 4.776108840516207210e-01 -6.906122156123410682e-02 2.683236285812283864e-03 3.658498369007520878e+35 1.473240304802291338e+35
4.064212933960588137e-01 4.809786965755362687e-01 -7.665404438410571009e-02 3.125283517454928699e-03 1.876243980676589927e+35 9.972361541514783328e+34
6.527174402348545623e-01 4.282386952604669283e-01 -8.405622395993439522e-02 4.119092409226966095e-03 7.879861527664747465e+34 7.814157727577422502e+34
2.756967902386058822e-01 6.961374211637884057e-01 -1.246179321262965989e-01 5.574347053548582565e-03 1.214922787145443202e+35 8.388521416022798429e+34
2.608970710574192164e-01 6.506086375735657956e-01 -1.148711807868084411e-01 4.804791905943974449e-03 1.485324492780291140e+35 1.231546885094864509e+35
1.078087721129415755e+00 -1.288469932004142338e-02 6.797927418686624049e-03 -6.763664051496565219e-04 1.141139926403687841e+35 8.066917337906400047e+34
5.026732278705919876e-01 4.042999359913564406e-01 -6.555731388754060252e-02 2.818636585557282147e-03 1.587040630476916013e+35 1.132037491834141961e+35
4.020891799001424238e-01 3.700938545403156810e-01 -3.836580877892772218e-02 2.808726412383507655e-04 2.000728126765605505e+35 1.579451023188294005e+35
3.973021013715350991e-01 7.929785782841912711e-01 -1.795458820539973521e-01 9.873924409269405761e-03 7.111426547147045265e+34 7.076081508298220834e+34
7.908463448891459580e-01 1.024220264943795228e-01 4.977051521964812215e-03 -1.781597507564340382e-03 1.893245677816473539e+35 1.022372627341037974e+35
9.509126167190377066e-01 1.039897192583128238e-01 -1.427356381932712304e-02 2.631680726044759101e-04 8.951719276963850796e+34 8.921911095722874648e+34
2.464091225079764191e-01 7.520560981065380624e-01 -1.336442168133104014e-01 5.634267034319336530e-03 9.660027390808696765e+34 8.329646930594615597e+34
5.732372110802826937e-01 4.707348901905802352e-01 -8.299302053704445126e-02 3.635499742358945085e-03 7.918564321086351699e+34 7.731863744052052009e+34
4.631485370038418981e-01 3.977202492095420761e-01 -5.228709875100137627e-02 1.172977681201554110e-03 1.758933645994362310e+35 1.092308472980720973e+35
5.563704846898294143e-01 4.902209557928332018e-01 -1.038917935353119715e-01 5.549620259510531020e-03 1.079272210638007241e+35 9.940948925482474701e+34
8.863404408869087758e-01 6.205978136104609716e-02 2.481337579486544379e-03 -1.209905335259727583e-03 1.959889881900980339e+35 1.013850009767870235e+35
4.390144903938181797e-01 5.059477272722792129e-01 -9.634738965232665653e-02 4.967328995540478201e-03 1.518359266955217134e+35 1.190192569694165887e+35
2.250916387912426098e-01 6.465120976162829214e-01 -1.024508729837814575e-01 3.851784557126173777e-03 1.623969187841715335e+35 1.026049600931296021e+35
2.292464389173121952e-01 6.398153917979765293e-01 -9.915885331430274174e-02 3.867607205435757717e-03 1.452325110123707924e+35 1.022345507437888367e+35
5.453867914602876787e-01 6.124582575519257333e-01 -1.249386641441316004e-01 6.375567441763782192e-03 7.461321299102845208e+34 5.260827048979224090e+34
3.269747292992541965e-01 7.257006503337855019e-01 -1.358937369078506707e-01 6.530298266350619864e-03 1.081183621727345292e+35 5.918289672794552492e+34
4.373597875888743935e-01 6.818195665115993620e-01 -1.308225643789279469e-01 6.127844034809274733e-03 7.232168478821406692e+34 5.970415801669069757e+34
9.748434625519896146e-01 1.040177193351056323e-01 -1.130790277283261550e-02 -2.853201363257897808e-04 8.872668729636313614e+34 6.861683364783602649e+34
6.752472818588363124e-01 2.203951800834520192e-01 -2.188558339488785170e-02 -1.298224585194844571e-04 1.674458513229233198e+35 1.110733067171320121e+35
9.671265070511465556e-01 1.783023753866139899e-02 9.098751244282199044e-03 -1.322861074411791444e-03 1.316241019574565793e+35 1.074863094721062043e+35
7.830583947707188130e-01 1.393850553809349024e-01 -1.344545684158122978e-02 -1.315060420408100804e-04 1.624168009838874986e+35 1.354458303386279591e+35
1.251283219333379826e+00 -8.645832748078434438e-02 6.610273574681019629e-03 -2.799902310593187400e-04 9.479244817701424610e+34 8.479677875692151622e+34
2.749256417155601095e-01 6.656265890480432823e-01 -1.239422615161222541e-01 5.824586007757229407e-03 1.558610774033390479e+35 1.066187818607536867e+35
8.483907970268571574e-01 1.794122990277208229e-01 -3.566734854815015870e-02 1.818056560708618393e-03 1.327788753119825952e+35 9.632551940871034634e+34
1.002779546210681882e+00 5.696542987154342569e-02 -9.777880813765380680e-03 2.647721628009546075e-04 1.112380163566423937e+35 9.072224058967789075e+34
2.021811822786658275e-01 6.471685750526994241e-01 -9.702259056874716625e-02 3.507410525075497273e-03 1.539291372495609807e+35 1.042001629403597790e+35
1.002672336381897011e+00 -1.165358337362728675e-01 4.711397667778401133e-02 -3.866367797035348639e-03 1.940938845907295216e+35 1.620591805783126297e+35
1.084302945852465339e+00 -2.916387137178096112e-02 1.139152566297709987e-02 -8.825513629908695408e-04 9.821146409620787839e+34 9.591721800525242386e+34
6.878692480168121515e-01 3.359638017555006129e-01 -6.424568821444751054e-02 2.643683862841274962e-03 1.423263082860359242e+35 8.321149115580352488e+34
8.168431018348545347e-01 2.568662672430509497e-01 -4.099527821977975994e-02 1.346144756893589327e-03 7.497123469102383714e+34 7.242030313831941089e+34
3.330231269096305402e-01 6.642126846542105723e-01 -1.226897533197805201e-01 5.748687641431423322e-03 9.929152673275954617e+34 9.187874657902059723e+34
1.054946358987473021e+00 7.306879911269135996e-02 -1.780845483653529376e-02 2.443017627519261182e-04 1.074648749051178683e+35 6.840527520053450472e+34
5.297386459425872385e-01 3.544281184410885688e-01 -5.847116952889294672e-02 2.887924126763334685e-03 2.096500237572580549e+35 1.248742868476521186e+35
6.360807509452210962e-01 2.843727375784428912e-01 -4.795591533651636512e-02 2.264348895531419648e-03 1.866588936495085711e+35 1.260716407170616141e+35
2.365808536021182795e-01 8.454029052285270129e-01 -1.757529605223277780e-01 8.832210783259780013e-03 1.017336713912487269e+35 8.247314021829203155e+34
1.203399454748032671e+00 -2.952108667420542260e-02 3.260855333536316625e-03 -9.584526069366075714e-04 7.337522514472622072e+34 7.027689708067206755e+34
6.481899822823976587e-01 3.749055848763977461e-01 -6.571693599999298141e-02 2.578940917939114095e-03 1.015644046918923265e+35 8.202336336751448916e+34
1.139593267284985112e+00 2.771872237748769785e-01 -9.875619141153811620e-02 6.191579780630029374e-03 6.374853809392899103e+34 3.562241359962074513e+34
1.410821803097167537e+00 -1.743029418283824350e-01 2.846418230451127143e-02 -1.411591701904966242e-03 6.695214962546874006e+34 5.434536879198732364e+34
