# indx mc delta_mc s1x s1y s1z s2x s2y s2z lnL lnL_err -1
-1.000000000000000000e+00 8.742663350424361823e+00 8.990612735733169991e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.746197766387325601e+00 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 9.539460837884860211e+00 2.833598894787338618e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.435845855710951469e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.414122205868927651e+01 1.926782074615180085e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.266924034226423146e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 8.171661677290856574e+00 2.375535011396991969e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.500210633200859434e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.295176747377841053e+01 8.940105918510148353e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.143122049776497420e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.254739178380402365e+01 4.463397232251762325e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.011879171848052579e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.134627113057249659e+01 2.333003779857163174e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.805849626216073034e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.159139989079548627e+01 5.381029430468619035e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.084928767039838249e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 9.962403558278907667e+00 7.455584705256398381e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.001346561882788393e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.280526749125261610e+01 8.554996946784422240e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.721260814445190022e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.091712197151549368e+01 8.850033180026901647e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.248663086797633071e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 8.807578583286172602e+00 1.360700458288807979e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.269334759568531013e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 8.308875442484961127e+00 6.443937300348169250e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.522757378384540061e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.784460259588012576e+01 3.695362367367465151e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.910203641859858635e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.513374223897167070e+01 9.885810470426538155e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.181787318343398283e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.567487095252724671e+01 6.965228918665160585e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.461167262607701787e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 9.046290248122170752e+00 4.169292457619164782e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.802365275764675090e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 9.100171835339807558e+00 2.245319059932309180e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.904001305105648356e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.511354094383326618e+01 9.612627252265579791e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.170448517235036434e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.617842961838255889e+01 9.918112912603815889e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.764034906415170326e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.419589200043532173e+01 4.900029818713523833e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.427893249826656756e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.498058560899419867e+01 5.705357359728099320e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.096064949642376405e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.725503801888329747e+01 8.170946022641327744e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.471941711629688143e+03 1.000000000000000056e-01 -1.000000000000000000e+00
